覆核狀態,SI代碼,SI名稱,開始受理贖回日,固定配息率,固定配息期間,浮動配息率,幣轉,連結標的,CNR分配率,銀行收益率,計績檔次,股債類型,保本率,最低申購金額,申購單位金額
覆核中,13WMSD0909,Ｓ＆Ｐ集利１２十年南非幣股權型,"=""""",,"=""""",5.52,,SPX Index,,,,,,,
覆核中,13WMSD0910,Ｓ＆Ｐ集利１２十年南非幣股權型,"=""""",,"=""""",4.5,,SPX Index,,,,,,,
覆核中,13WMSD1001,Ｓ＆Ｐ集利１３十年南非幣股權型,"=""""",,"=""""",7,,SPX Index,,,,,,,
覆核中,13WMSD1007,倍數得利１２二年人民幣匯率型,"=""""",,"=""""",5,,USDCNH Curncy,,,,,,,
覆核中,13WMSD1009,Ｓ＆Ｐ夠利十年南非幣股權型,"=""""",,"=""""",6,,SPX Index,,,,,,,
覆核中,13WMSD1014,Ｓ＆Ｐ集利１５十年南非幣股權型,"=""""",,"=""""",7.2,,SPX Index,,,,,,,
覆核中,13WMSD1103,非利多多三年南非幣利率型,"=""""",,"=""""",5,,USSW10 Index;USSW2 Index,,,,,,,
覆核中,13WMSD1107,倍數得利１３兩年人民幣匯率型,"=""""",,"=""""",8.2,,USDCNH Curncy,,,,,,,
覆核中,13WMSD1109,Ｓ＆Ｐ夠利２十年南非幣股權型,"=""""",,"=""""",8,,SPX Index,,,,,,,
覆核中,13WMSD1112,Ｓ＆Ｐ集利１６十年南非幣股權型,"=""""",,"=""""",4.2,,SPX Index,,,,,,,
覆核中,13WMSD1113,倍數得利１４二年澳幣匯率型,"=""""",,"=""""",5,,USDCNH Curncy,,,,,,,
覆核中,13WMSD1203,倍數得利１５兩年人民幣匯率型,"=""""",,"=""""",5,,USDCNH Curncy,,,,,,,
覆核中,13WMSD1205,Ｓ＆Ｐ集利１７十年南非幣股權型,"=""""",,"=""""",9.2,,SPX Index,,,,,,,
覆核中,14WMSD0105,倍數得利１７二年人民幣匯率型,"=""""",,"=""""",10,,USDCNH Curncy,,,,,,,
覆核中,14WMSD0106,倍數得利１７二年人民幣匯率型,"=""""",,"=""""",8.35,,USDCNH Curncy,,,,,,,
覆核中,14WMSD0112,Ｓ＆Ｐ集利１８十年南非幣股權型,"=""""",,"=""""",5,,SPX Index,,,,,,,
覆核中,14WMSD0205,倍數得利１８兩年人民幣匯率型,"=""""",,"=""""",3.95,,USDCNH Curncy,,,,,,,
覆核中,14WMSD0211,澳利發發１７兩年澳幣利率型,"=""""",2.5,"=""到期""",5,,ADBB3M Index,,,,,,,
