基金公司代碼,投信/總代理人/境外基金結構
FR,投信
CA,總代理人
FN,投信
FM,投信
AQ,總代理人
AO,總代理人
AP,總代理人
FS,投信
1L,投信
FK,投信
FO,投信
BS,總代理人
1G,投信
FI,投信
1H,投信
FJ,投信
AC,總代理人
FH,投信
BW,總代理人
1K,投信
FQ,投信
BY,總代理人
BT,總代理人
1D,投信
FC,投信
DC,投信
DD,投信
DE,投信
DF,投信
DG,投信
DH,投信
DI,投信
DJ,投信
DK,投信
DL,投信
DM,投信
DN,投信
DO,投信
DP,投信
DQ,投信
DR,投信
DS,投信
DT,投信
DU,投信
DV,投信
DW,投信
DX,投信
DY,投信
DZ,投信
FA,投信
FB,投信
01,投信
02,投信
03,投信
04,投信
05,投信
06,投信
07,投信
08,投信
10,投信
09,投信
11,投信
12,投信
13,投信
14,投信
15,投信
16,投信
17,投信
18,投信
19,投信
20,投信
21,投信
22,投信
23,投信
24,投信
25,投信
26,投信
27,投信
28,投信
29,投信
30,投信
31,投信
32,投信
33,投信
34,投信
35,投信
36,投信
37,投信
38,投信
39,投信
40,投信
41,投信
42,投信
43,投信
44,投信
45,投信
46,投信
47,投信
48,投信
49,投信
51,總代理人
52,總代理人
53,總代理人
54,總代理人
55,總代理人
56,總代理人
57,總代理人
58,總代理人
59,總代理人
60,總代理人
61,總代理人
62,總代理人
63,總代理人
64,總代理人
65,總代理人
66,總代理人
67,總代理人
68,總代理人
69,總代理人
70,總代理人
85,總代理人
86,總代理人
87,總代理人
88,總代理人
89,總代理人
93,總代理人
94,總代理人
95,總代理人
96,總代理人
98,總代理人
99,總代理人
1A,投信
1B,投信
1C,投信
BQ,總代理人
FD,投信
AA,投信
1F,投信
FE,投信
71,總代理人
72,總代理人
73,總代理人
74,總代理人
75,總代理人
76,總代理人
77,總代理人
78,總代理人
79,總代理人
80,總代理人
81,總代理人
82,總代理人
83,總代理人
84,總代理人
BR,總代理人
BE,總代理人
FF,投信
BA,總代理人
BB,總代理人
BC,總代理人
BD,總代理人
BF,總代理人
BG,總代理人
BH,總代理人
BI,總代理人
BJ,總代理人
BK,總代理人
BL,總代理人
BM,總代理人
BN,總代理人
BO,總代理人
BP,總代理人
DA,投信
DB,投信
